QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
456,For which use cases is running a virtual warehouse required? (Choose two.) A. __B. | C. D. E,"A,B",When loading data into a table,When unloading data from a table,When executing a LIST command,When executing a SHOW command,When creating a table,,"Executing SQL SELECT statements that require compute resources (e.g. retrieving rows from tables and views).\n

Performing DML operations, such as:\n
-Updating rows in tables (DELETE , INSERT , UPDATE).\n
-Loading data into tables (COPY INTO ).\n
-Unloading data from tables (COPY INTO)",https://docs.snowflake.com/en/user-guide/warehouses,,Performance Concepts
457,"Queries in Snowflake are getting queued on the warehouses and delaying the ETL processes of the company. What are the possible solution options you can think of, considering we have the Snowflake Enterprise edition? (Choose two.)","C,E",Contact Snowflake support to increase the size of the warehouse.,Upgrade Snowflake edition,Resize the warehouse.,Set auto-resize parameter to TRUE.,Use a multi-cluster warehouse.,,"By resizing the warehouse, your company will scale up, reducing the time to execute big queries. Using multi-cluster warehouses, you will have more queries running simultaneously and a high concurrency when they execute, and this is the definition of scaling out. You can see the differences between the different ways to scale in the following picture:",https://docs.snowflake.com/en/user-guide/warehouses-considerations#scaling-up-vs-scaling-out,,Performance Concepts
458,What is used to diagnose and troubleshoot network connections to Snowflake?,A,SnowCD,Snowpark,SnowSQL,Snowsight,,,SnowCD (i.e. Snowflake Connectivity Diagnostic Tool) helps users to diagnose and troubleshoot their network connection to Snowflake.,https://docs.snowflake.com/en/user-guide/snowcd,,"Snowflake AI Data Cloud Features and Architecture, Account Access and Security"
459,What is a characteristic of materialized views in Snowflake?,C,Aggregate functions can be used as window functions in materialized views.,Multiple tables can be joined in the underlying query of a materialized view.,Materialized views do not allow joins.,Clones of materialized views can be created directly by the user.,,,"The following limitations apply to creating materialized views:\n
-A materialized view can query only a single table.\n
-Joins, including self-joins, are not supported.\n
A materialized view cannot query:\n
-A materialized view.\n
-A non-materialized view.\n
-A UDTF (user-defined table function).",https://docs.snowflake.com/en/user-guide/views-materialized#label-limitations-on-creating-materialized-views,,Performance Concepts
460,Which Snowflake URL type allows users or applications to download or access files directly from Snowflake stage without authentication?,C,Directory,File,Pre-signed,Scoped,,,"Pre-signed URLs are used to download or access files, via a web browser for example, without authenticating into Snowflake or passing an authorization token.",https://www.snowflake.com/blog/snowflake-launches-unstructured-data-support-in-public-preview/?lang=es,,Data Loading and Unloading
461,What can you easily check to see if a large table will benefit from explicitly defining a clustering key?,B,Clustering status.,Clustering depth.,Values in a table.,Clustering ratio.,,,"The clustering depth measures the average depth of the overlapping micro-partitions for specified columns in a table (1 or greater). The smaller the cluster depth is, the better clustered the table is. You can get the clustering depth of a Snowflake table using this command:\n
SELECT SYSTEM$CLUSTERING_DEPTH('MY_TABLE', '(col1, col2)');",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#clustering-depth,,Performance Concepts
462,How does a Snowflake user extract the URL of a directory table on an external stage for further transformation?,B,Use the DESCRIBE STAGE command.,Use the GET_STAGE_LOCATION function.,Use the SHOW STAGES command.,Use the GET_ABSOLUTE_PATH function.,,,"The GET_STAGE_LOCATION function returns the location of a stage, including the URL of the directory table. The syntax for the GET_STAGE_LOCATION function.\n

SELECT GET_STAGE_LOCATION(@my_stage)",https://docs.snowflake.com/en/sql-reference/functions/get_stage_location,,Data Transformations
463,How are network policies defined in Snowflake?,A,They are a set of rules that control access to Snowflake accounts by specifying the IP addresses or ranges of IP addresses that are allowed to connect to Snowflake.,They are a set of rules that define how data can be transferred between different Snowflake accounts within an organization.,They are a set of rules that dictate how Snowflake accounts can be used between multiple users.,They are a set of rules that define the network routes within Snowflake.,,,,https://docs.snowflake.com/en/user-guide/network-policies,,Account Access and Security
464,How does the ACCESS_HISTORY view enhance overall data governance pertaining to read and write operations? (Choose two.),"B,E",Determines whether a given row in a table can be accessed by the user by filtering the data based on a given policy,Provides a unified picture of what data was accessed and when it was accessed,Protects sensitive data from unauthorized access while allowing authorized users to access it at query runtime,Identifies columns with personal information and tags them so masking policies can be applied to protect sensitive data,Shows how the accessed data was moved from the source to the target objects,,,https://docs.snowflake.com/en/user-guide/access-history,,Account Access and Security
465,Which query type is supported for implementing the search optimization service?,B,Substring search queries on external tables,Geography value column searches using geospatial functions,String searches on columns using the COLLATE function,Queries with column concatenation,,,,https://docs.snowflake.com/en/user-guide/search-optimization-service,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
466,What is the SNOWFLAKE.ACCOUNT_USAGE view that contains information about which objects were read by queries within the last 365 days (1 year)?,A,ACCESS_HISTORY,OBJECT_HISTORY,VIEWS_HISTORY,LOGIN_HISTORY,,,"Querying the ACCESS_HISTORY View This Account Usage view can be used to query the access history of Snowflake objects (e.g. table, view, column) within the last 365 days (1 year).",https://docs.snowflake.com/en/sql-reference/account-usage/access_history,,Data Transformations
467,What transformations are supported in a CREATE PIPE .. AS COPY `¦ FROM (`¦) statement? (Choose two.),"C,E",Incoming data can be joined with other tables.,Data can be filtered by an optional WHERE clause.,Columns can be reordered.,Row level access can be defined.,Columns can be omitted.,,,https://docs.snowflake.com/en/sql-reference/sql/create-pipe,,Data Transformations
468,Which function will provide the proxy information needed to protect Snowsight?,B,SYSTEM$GET_TAG,SYSTEM$ALLOWLIST,SYSTEM$GET_PRIVATELINK,SYSTEM$AUTHORIZE_PRIVATELINK,,,"To determine the fully qualified URL and port for Snowsight, review the SNOWSIGHT_DEPLOYMENT entry in the return value of the SYSTEM$ALLOWLIST function.",https://docs.snowflake.com/en/user-guide/ui-snowsight-gs,,Snowflake AI Data Cloud Features and Architecture
469,Authorization to execute CREATE [object] statements comes only from which role?,C,Secondary role,Database role,Primary role,Application role,,,Note that authorization to execute CREATE <object> statements to create objects is provided by the primary role.,https://docs.snowflake.com/en/sql-reference/sql/use-secondary-roles,,Data Transformations
470,Which certifications are compliant with Snowflake? (Choose three.),"A,B,E",HIPAA.,FedRAMP.,ISO 9000.,SC-900.,PCI-DSS.,,"They won't ask you in-depth questions about this topic in the exam, but it's important to remember some of the most important ones.",https://www.snowflake.com/snowflakes-security-compliance-reports,,Account Access and Security
471,Which character or character combination identifies a table stage?,A,“@%”,“%”,“/@”,“@”,,,"Note that the @% character combination identifies a table stage.\n
Linux or macOS\n
-PUT file:///data/data.csv @%mytable;\n
Windows\n
-PUT file://C:\data\data.csv @%mytable;",https://docs.snowflake.com/en/user-guide/data-load-local-file-system-stage,,Data Loading and Unloading
472,"By default, how long is the standard retention period for Time Travel across all Snowflake accounts?",C,90 days,7 days,1 day,0 days,,,"By default, Time travel is enabled with a 1-day retention period. However, we can increase it to 90 days if we have (at least) the Snowflake Enterprise Edition. It requires additional storage, which will be reflected in your monthly storage charges. You can see how the Time Travel functionality works in the following image:",https://docs.snowflake.com/en/user-guide/data-time-travel,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
473,Which of the following are characteristics of schemas used in Snowflake? (Choose two.),"A,C",A schema represents a logical grouping of database objects.,A schema may contain one or more databases.,A database may contain one or more schemas.,Each schema is contained within a virtual warehouse.,A table can span more than one schema.,,"Databases and schemas are used to organize data stored in Snowflake:\n
-A database is a logical grouping of schemas. Each database belongs to a single Snowflake account.\n
-A schema is a logical grouping of database objects (tables, views, etc.). Each schema belongs to a single database.",https://docs.snowflake.com/en/sql-reference/ddl-database,,Data Transformations
474,How can a data provider share their Snowflake data? (Choose two.),"A,E",Direct share,Snowpark API,External function,External table,Snowflake Marketplace listing,,,https://docs.snowflake.com/en/user-guide/data-sharing-intro#about-providers,,Data Protection and Data Sharing
475,Which statements are NOT correct about micro-partitions in Snowflake? (Choose two.),"B,C",Contiguous units of storage.,Non-contiguous units of storage.,50 and 500MB of compressed data.,50 and 500MB of uncompressed data.,Organized in a columnar way.,,"This definition is a must, and we need to know it perfectly “All data in Snowflake tables are automatically divided into micro-partitions, which are contiguous units of storage between 50 and 500MB of uncompressed data, organized in a columnar way”.",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
